551, 71
597, 76
585, 57
589, 63
559, 53
553, 55
551, 72
584, 60
545, 74
545, 64
561, 53
527, 64
545, 82
577, 41
591, 40
569, 44
566, 37
524, 39
572, 41
532, 40
525, 56
572, 45
545, 39
586, 32
546, 54
463, 42
584, 46
542, 41
560, 43
515, 58
577, 32
576, 36
597, 36
583, 37
567, 37
569, 32
589, 37
572, 35
569, 32
577, 33
612, 55
647, 47
637, 46
681, 43
663, 38
664, 46
652, 46
667, 51
549, 45
595, 40
568, 39
576, 38
560, 41
611, 37
588, 38
595, 40
584, 66
627, 52
588, 51
578, 49
628, 51
681, 57
601, 46
622, 50
618, 50
452, 52
559, 38
582, 43
595, 36
597, 43
594, 41
562, 42
560, 39
597, 41
581, 50
565, 42
541, 42
550, 46
519, 48
563, 45
529, 45
536, 48
577, 59
567, 63
589, 59
583, 66
653, 56
645, 71
690, 72
659, 73
672, 61
595, 52
683, 68
615, 54
591, 45
574, 42
576, 48
629, 49
599, 47
597, 44
565, 33
534, 36
574, 38
557, 38
582, 41
571, 36
570, 54
561, 53
550, 46
545, 50
571, 55
580, 49
542, 45
530, 49
614, 46
664, 46
632, 50
622, 50
574, 50
436, 51
649, 52
577, 55
569, 55
608, 54
614, 54
602, 49
658, 48
655, 48
674, 52
678, 47
685, 33
596, 37
530, 38
584, 34
600, 33
611, 38
527, 36
563, 32
541, 37
632, 42
481, 27
518, 55
600, 55
576, 53
649, 47
619, 64
577, 56
621, 48
618, 52
656, 42
659, 55
700, 34
529, 46
519, 40
581, 44
610, 39
580, 43
551, 41
609, 45
591, 48
579, 40
636, 39
563, 36
598, 40
545, 38
539, 31
583, 43
351, 28
575, 39
573, 40
593, 39
622, 41
644, 38
588, 39
609, 37
591, 46
599, 44
620, 44
598, 48
650, 43
602, 42
633, 46
690, 37
551, 38
585, 43
589, 39
677, 41
501, 43
569, 30
591, 32
598, 34
607, 35
585, 33
603, 34
541, 35
594, 35
595, 46
602, 40
614, 42
615, 41
600, 39
608, 39
585, 39
611, 44
441, 41
587, 33
600, 41
583, 42
615, 38
600, 37
596, 35
589, 36
613, 33
538, 32
576, 39
522, 36
533, 35
559, 32
570, 39
555, 33
364, 42
609, 26
574, 25
574, 28
595, 29
574, 25
569, 29
564, 24
585, 25
513, 44
593, 48
522, 40
580, 49
586, 51
620, 53
586, 59
611, 44
557, 41
599, 36
561, 45
604, 27
542, 44
570, 41
548, 40
610, 43
607, 35
609, 43
590, 39
537, 39
430, 35
590, 32
602, 30
555, 31
586, 37
604, 39
569, 33
581, 33
348, 38
604, 40
627, 38
615, 41
614, 36
601, 41
569, 35
583, 29
567, 28
600, 30
570, 24
575, 36
537, 27
576, 27
603, 31
593, 32
589, 31
614, 39
616, 34
586, 38
590, 42
634, 31
621, 40
585, 36
589, 32
566, 45
615, 54
568, 44
606, 54
607, 41
593, 52
569, 51
566, 31
596, 36
588, 27
597, 36
578, 35
600, 36
583, 34
619, 56
607, 57
619, 57
638, 52
592, 34
669, 56
574, 50
